Supplier,Country,Coffee_Quality_Score,ESG_Score,Certification_Fairtrade,Certification_Organic,Distance_km,Emissions_kg_CO2,Cost_USD,Historical_ESG_Violations,Latitude,Longitude,Sustainability_Risk
CoffeeSupplier_064,Brazil,82.02,6.37,1,1,11241,400.0,24478,1,-10.26886058875428,-38.56439288344692,Medium
CoffeeSupplier_065,Colombia,89.43,8.12,0,0,13017,532.0,10674,1,12.220469502901759,-70.00543084298715,Medium
CoffeeSupplier_066,Rwanda,80.87,8.12,1,0,11941,494.0,14898,1,-2.6830244629307907,29.643318496493524,Medium
CoffeeSupplier_067,Colombia,81.29,8.12,0,1,14550,471.0,18147,2,9.707907205701876,-76.21011273075928,Medium
CoffeeSupplier_068,Vietnam,79.63,10.0,1,0,12002,391.0,8793,0,20.825766269809492,102.90254071526248,Low
CoffeeSupplier_069,Vietnam,70.41,8.19,1,1,6331,431.0,10116,1,8.913569428646756,104.88067958618437,High
CoffeeSupplier_070,Indonesia,79.87,8.86,0,1,9261,591.0,13779,0,-10.375557063747568,139.03443209723298,Low
CoffeeSupplier_071,Vietnam,80.3,8.64,0,0,12648,560.0,20298,1,20.75832657606828,108.00577265347407,Medium
CoffeeSupplier_072,Indonesia,92.32,8.28,0,1,14550,383.0,22153,1,-0.2937753090653974,104.95090505968146,Medium
CoffeeSupplier_073,Vietnam,79.04,7.12,0,0,10115,512.0,19111,1,16.07755757348116,106.47955554322756,Medium
CoffeeSupplier_074,Rwanda,81.51,8.41,0,1,9637,590.0,18789,2,-1.8549432984515173,29.346490072698206,High
CoffeeSupplier_075,Indonesia,79.83,6.57,1,0,9854,300.0,19397,0,-2.2407852866496603,117.59457167995683,Medium
CoffeeSupplier_076,Ethiopia,74.16,7.22,1,0,8177,565.0,20999,1,14.85786142177733,46.461542220693055,Medium
CoffeeSupplier_077,Honduras,85.71,6.92,0,1,12730,420.0,8814,0,14.336480319468421,-85.53778822580227,Medium
CoffeeSupplier_078,Brazil,83.76,7.6,0,1,7180,568.0,24729,0,-4.5330074404030904,-72.53677223485745,Medium
CoffeeSupplier_079,Vietnam,83.96,10.0,0,0,9892,408.0,18541,0,21.802805906663163,108.45095112313443,Low
CoffeeSupplier_080,Colombia,75.45,5.26,1,1,12043,283.0,10443,1,3.3933728230435416,-74.2668458304274,High
CoffeeSupplier_081,Vietnam,87.01,8.32,1,0,5137,305.0,18457,0,12.348982497815987,105.57507621247777,Low
CoffeeSupplier_082,Colombia,72.99,5.56,0,0,11327,506.0,18380,0,-3.46334738534827,-68.68845824650121,High
CoffeeSupplier_083,Honduras,82.93,6.93,1,0,8472,531.0,15783,1,13.00980934209749,-87.3598815347068,Medium
CoffeeSupplier_084,Honduras,90.95,8.81,0,0,10449,391.0,19473,0,15.787927413788868,-84.8416815419546,Low
CoffeeSupplier_085,Honduras,75.05,7.58,0,0,7832,577.0,23328,2,13.772311977790332,-87.83357561744252,Medium
CoffeeSupplier_086,Colombia,77.17,6.21,1,0,8579,301.0,8827,1,-4.115636479020769,-70.58185705651803,Medium
CoffeeSupplier_087,Vietnam,80.5,6.64,0,1,10971,492.0,15147,1,8.94151044143223,105.99451889550572,Medium
CoffeeSupplier_088,Honduras,77.48,8.32,0,1,9164,355.0,12451,0,15.882578115035354,-88.72129306766239,Low
CoffeeSupplier_089,Rwanda,72.25,6.62,1,1,12941,422.0,23343,0,-1.1899361242574786,30.8820982038046,Medium
CoffeeSupplier_090,Indonesia,80.34,7.76,0,0,10569,506.0,21635,0,-9.954210553933004,135.61368838032323,Medium
CoffeeSupplier_091,Colombia,74.69,7.55,1,0,9300,397.0,13959,1,4.366911739364037,-68.03118399472059,Low
CoffeeSupplier_092,Colombia,82.37,6.72,0,1,11269,454.0,8126,0,5.283894435864931,-70.98844467771058,Medium
CoffeeSupplier_093,Vietnam,75.4,10.0,1,1,8818,621.0,16795,0,16.465439401560467,108.48369660230512,Low
CoffeeSupplier_094,Colombia,87.75,8.26,0,0,6906,431.0,19641,0,7.982904654631449,-72.69275022261698,Low
CoffeeSupplier_095,Colombia,76.08,5.07,1,1,11254,600.0,15196,1,10.21146934725568,-76.03204505971046,High
CoffeeSupplier_096,Honduras,78.39,7.72,1,1,5760,364.0,19559,1,13.38775604507783,-88.40551934695355,Medium
CoffeeSupplier_097,Vietnam,84.07,6.71,0,1,12830,564.0,11368,0,13.276934956927615,103.79017523475763,Medium
CoffeeSupplier_098,Honduras,73.85,8.52,1,1,12350,673.0,11797,1,15.78328008658019,-88.74382861826278,Medium
CoffeeSupplier_099,Indonesia,81.14,6.55,1,1,11238,203.0,23114,1,0.8828425466729903,103.70419083011026,Medium
CoffeeSupplier_100,Indonesia,86.54,7.36,0,0,11090,404.0,21718,0,3.987831257095953,139.22050325650574,Medium
